FIRST_NAME;LAST_NAME;VALUE_DAY;CURRENCY_CODE;MEMBERSHIP_CODE;VALUE_AMT
Leland;Gales;08.09.2020;RUR;L;8613
Shayna;Mahan;08.09.2020;EUR;L;99
Euna;Mak;08.09.2020;EUR;M;59
Bobette;Shuff;08.09.2020;USD;XL;141,9
Herta;Blind;09.09.2020;RUR;M;5133
Douglas;Charity;09.09.2020;EUR;M;59
Mason;Henslee;09.09.2020;EUR;S;29
Trenton;Dargan;10.09.2020;EUR;XL;129
Maris;Nee;10.09.2020;EUR;XL;129
Richie;Petrey;10.09.2020;EUR;S;29
Daniela;Russaw;10.09.2020;EUR;XL;129
Latonia;Vanwyk;10.09.2020;RUR;L;8613
Pamelia;Bergquist;11.09.2020;USD;S;31,9
Willy;Frink;11.09.2020;USD;L;108,9
Darcey;Heide;11.09.2020;EUR;M;59
Joanne;Kingery;11.09.2020;EUR;M;59
Dreama;Moman;11.09.2020;EUR;L;99
Leonie;Rakowski;11.09.2020;EUR;XL;129
Soraya;Lashbrook;12.09.2020;RUR;S;2523
Sylvia;Olander;12.09.2020;RUR;S;2523
Zina;Bilal;13.09.2020;USD;M;64,9
Jude;Brashier;13.09.2020;EUR;L;99
Mirta;Cannon;13.09.2020;USD;M;64,9
Maryann;Weldy;13.09.2020;USD;L;108,9
Celsa;Bumbalough;14.09.2020;RUR;M;5133
Arlyne;Honda;14.09.2020;USD;XL;141,9
Chasidy;Nixon;14.09.2020;EUR;M;59
Alfredo;Hursey;15.09.2020;EUR;L;99
Lesa;Mehaffey;15.09.2020;EUR;L;99
Merrie;Weideman;15.09.2020;RUR;L;8613
Irena;Byrge;16.09.2020;EUR;M;59
Magdalena;Ratcliffe;16.09.2020;RUR;M;5133
Kristle;Vien;16.09.2020;RUR;L;8613
Kellie;Bail;17.09.2020;RUR;S;2523
Luanne;Boucher;17.09.2020;USD;L;108,9
Jalisa;Keala;17.09.2020;EUR;S;29
Winter;Mckillop;17.09.2020;EUR;XL;129
Gena;Dacanay;18.09.2020;EUR;M;59
Genesis;Kowalczyk;18.09.2020;EUR;M;59
Rachael;Scheff;18.09.2020;USD;XL;141,9
Justina;Stonecipher;18.09.2020;EUR;S;29
Chas;Vandever;18.09.2020;EUR;XL;129
Gregoria;Fant;19.09.2020;EUR;M;59
January;Randazzo;19.09.2020;EUR;S;29
Shaniqua;Truesdale;20.09.2020;EUR;L;99
Raisa;Benford;21.09.2020;EUR;L;99
Regena;Kita;21.09.2020;EUR;XL;129
Ranae;Lumpkins;21.09.2020;EUR;XL;129
Terina;Shira;22.09.2020;RUR;XL;11223
Carlene;Felice;23.09.2020;RUR;L;8613
Victor;Hilliker;23.09.2020;EUR;L;99
Tawny;Jeske;23.09.2020;EUR;S;29
Emilie;Nemitz;23.09.2020;RUR;L;8613
Dan;Rozelle;23.09.2020;EUR;S;29
August;Darland;24.09.2020;USD;S;31,9
Rudolph;Glickman;25.09.2020;EUR;M;59
Loraine;Bensley;26.09.2020;EUR;M;59
Jovita;Fesler;26.09.2020;RUR;L;8613
Ja;Moscato;26.09.2020;RUR;L;8613
Beverley;Silveira;26.09.2020;EUR;S;29
Elmer;Gean;27.09.2020;EUR;L;99
Gwendolyn;Westerlund;27.09.2020;RUR;L;8613
Charlette;Radtke;28.09.2020;USD;S;31,9
Terrence;Mustafa;29.09.2020;USD;L;108,9
Twana;Willet;29.09.2020;EUR;XL;129
Niki;Castano;30.09.2020;EUR;M;59
Darcey;Heide;01.10.2020;EUR;L;99
Danae;Smullen;01.10.2020;EUR;L;99
Mariette;Swick;01.10.2020;EUR;L;99
Hanh;Whitesell;01.10.2020;EUR;S;29
Debora;Hoang;02.10.2020;EUR;M;59
Kristle;Vien;02.10.2020;EUR;S;29
Jeniffer;Brace;03.10.2020;RUR;M;5133
Willy;Frink;03.10.2020;USD;L;108,9
Stephani;Mincy;03.10.2020;USD;S;31,9
Shaniqua;Truesdale;03.10.2020;RUR;L;8613
Lashell;Abbas;04.10.2020;RUR;M;5133
Gregoria;Fant;04.10.2020;EUR;XL;129
Charlette;Radtke;04.10.2020;USD;L;108,9
Hector;Redwine;04.10.2020;EUR;S;29
Bobette;Shuff;04.10.2020;EUR;M;59
Lavina;Ackles;05.10.2020;RUR;M;5133
Trenton;Dargan;05.10.2020;EUR;S;29
Rudolph;Glickman;05.10.2020;EUR;L;99
Regena;Kita;06.10.2020;EUR;L;99
Yen;Latimore;06.10.2020;EUR;M;59
Leonie;Rakowski;06.10.2020;EUR;S;29
Levi;Basham;07.10.2020;EUR;M;59
Daniele;Euell;07.10.2020;USD;S;31,9
Elmer;Gean;07.10.2020;EUR;M;59
Loyd;Grosz;07.10.2020;USD;XL;141,9
Carmelina;Hewett;07.10.2020;RUR;L;8613
Dreama;Moman;07.10.2020;USD;L;108,9
Merrie;Weideman;07.10.2020;EUR;XL;129
Irena;Byrge;08.10.2020;EUR;L;99
Helene;Hargrove;08.10.2020;EUR;M;59
Victor;Hilliker;08.10.2020;USD;L;108,9
Tonisha;Vanbeek;08.10.2020;EUR;L;99
Zofia;Ambler;09.10.2020;RUR;L;8613
Herta;Blind;09.10.2020;EUR;L;99
Leland;Gales;09.10.2020;RUR;L;8613
Hanh;Whitesell;09.10.2020;USD;S;31,9
August;Darland;10.10.2020;RUR;XL;11223
Tawny;Jeske;11.10.2020;EUR;XL;129
Shayna;Mahan;11.10.2020;EUR;M;59
Ja;Moscato;11.10.2020;USD;L;108,9
Louie;Scarpelli;11.10.2020;EUR;S;29
Luanne;Boucher;12.10.2020;RUR;L;8613
Ailene;Frieden;12.10.2020;EUR;XL;129
Vena;Sedor;12.10.2020;RUR;XL;11223
Andera;Valliere;12.10.2020;EUR;M;59
Niki;Castano;13.10.2020;EUR;S;29
Douglas;Charity;13.10.2020;RUR;L;8613
Latonia;Vanwyk;13.10.2020;EUR;XL;129
Loraine;Bensley;14.10.2020;RUR;M;5133
Joanne;Kingery;14.10.2020;EUR;L;99
Soraya;Lashbrook;14.10.2020;USD;M;64,9
Mirta;Cannon;15.10.2020;USD;L;108,9
Arlyne;Honda;15.10.2020;RUR;S;2523
Starr;Krogh;15.10.2020;RUR;L;8613
Euna;Mak;15.10.2020;EUR;S;29
Connie;Newingham;15.10.2020;USD;L;108,9
Richie;Petrey;15.10.2020;EUR;S;29
Pamelia;Bergquist;16.10.2020;EUR;M;59
Genesis;Kowalczyk;16.10.2020;EUR;M;59
Terrence;Mustafa;16.10.2020;EUR;XL;129
Raisa;Benford;17.10.2020;USD;XL;141,9
Gena;Dacanay;17.10.2020;USD;M;64,9
Jalisa;Keala;17.10.2020;USD;S;31,9
Maris;Nee;17.10.2020;USD;S;31,9
January;Randazzo;17.10.2020;EUR;XL;129
Magdalena;Ratcliffe;17.10.2020;EUR;S;29
Rachael;Scheff;17.10.2020;EUR;L;99
Terina;Shira;17.10.2020;EUR;M;59
Chasidy;Nixon;18.10.2020;EUR;M;59
Daniela;Russaw;18.10.2020;EUR;XL;129
Cristopher;Brownfield;19.10.2020;RUR;M;5133
Beverley;Silveira;19.10.2020;EUR;M;59
Zina;Bilal;20.10.2020;EUR;M;59
Jude;Brashier;20.10.2020;EUR;L;99
Mikel;Brockway;20.10.2020;EUR;M;59
Laronda;Coe;20.10.2020;USD;L;108,9
Carlene;Felice;20.10.2020;EUR;M;59
Annalee;Gulbranson;20.10.2020;EUR;M;59
Katina;Abernethy;21.10.2020;EUR;L;99
Edmond;Dawe;21.10.2020;RUR;M;5133
Twana;Willet;21.10.2020;EUR;M;59
Sylvia;Olander;22.10.2020;EUR;L;99
Justina;Stonecipher;22.10.2020;EUR;XL;129
Lakendra;Zick;22.10.2020;RUR;XL;11223
Chas;Vandever;23.10.2020;EUR;XL;129
Maryann;Weldy;23.10.2020;USD;L;108,9
Gwendolyn;Westerlund;23.10.2020;EUR;L;99
Lesa;Mehaffey;24.10.2020;USD;L;108,9
Louanne;Hillwig;25.10.2020;RUR;M;5133
Dan;Rozelle;26.10.2020;EUR;L;99
Kellie;Bail;27.10.2020;EUR;L;99
Susan;Duffield;27.10.2020;EUR;S;29
Jovita;Fesler;27.10.2020;EUR;M;59
Mason;Henslee;27.10.2020;RUR;M;5133
Danae;Smullen;27.10.2020;RUR;L;8613
Alfredo;Hursey;29.10.2020;USD;M;64,9
Ranae;Lumpkins;30.10.2020;EUR;S;29
Winter;Mckillop;30.10.2020;RUR;M;5133
Emilie;Nemitz;30.10.2020;EUR;M;59
Rolf;Sharrow;30.10.2020;EUR;L;99
Mariette;Swick;30.10.2020;RUR;L;8613
Celsa;Bumbalough;31.10.2020;EUR;S;29
Sherryl;Gateley;31.10.2020;RUR;M;5133
